movie_title,genre_4
Heat,Thriller
Tom and Huck,Family
Assassins,Thriller
Babe,Family
Across the Sea of Time,Family
Dead Presidents,History
To Die For,Thriller
Pocahontas,Family
The Big Green,Family
From Dusk Till Dawn,Crime
Mary Reilly,Romance
Broken Arrow,Thriller
Shopping,Science
Muppet Treasure Island,Family
Braveheart,War
Rumble in the Bronx,Thriller
Race the Sun,Drama
Jade,Romance
Bad Boys,Thriller
The Amazing Panda Adventure,Family
Amateur,Thriller
Congo,Mystery
The Doom Generation,Drama
First Knight,Romance
Hackers,Drama
Johnny Mnemonic,Science
The Net,Thriller
Bushwhacked,Crime
Castle Freak,Mystery
Disclosure,Mystery
Exit to Eden,Romance
Far from Home: The Adventures of Yellow Dog,Family
A Goofy Movie,Comedy
The Glass Shield,Crime
Just Cause,Thriller
A Kid in King Arthur's Court,Science
Kiss of Death,Thriller
Legends of the Fall,War
New York Cop,Drama
The Santa Clause,Family
Tank Girl,Science
The Client,Mystery
"Corrina, Corrina",Romance
New Nightmare,Fantasy
The Mask,Fantasy
Maverick,Drama
The River Wild,Thriller
Fall Time,Drama
Girl in the Cadillac,Drama
Bad Girls,Drama
Black Beauty,Family
Blink,Thriller
Carlito's Way,Thriller
City Slickers II: The Legend of Curly's Gold,Western
Color of Night,Thriller
Even Cowgirls Get the Blues,Romance
Widows' Peak,Romance
The Fugitive,Crime
Geronimo: An American Legend,Western
Hard Target,Thriller
Heaven & Earth,Drama
In the Line of Fire,Crime
Killing Zoe,Thriller
Lassie,Family
Last Action Hero,Comedy
Executive Decision,Thriller
What Happened Was...,Romance
North,Fantasy
Radioland Murders,Music
RoboCop 3,Science
Romeo Is Bleeding,Thriller
Serial Mom,Thriller
The Shadow,Thriller
Striking Distance,Thriller
Super Mario Bros.,Fantasy
Surviving the Game,Crime
Threesome,Romance
Tombstone,History
True Romance,Romance
Princess Caraboo,Mystery
Café au Lait,Foreign
Ghost,Mystery
Homeward Bound II: Lost in San Francisco,Family
The Aristocats,Adventure
A Thin Line Between Love and Hate,Romance
The Last Supper,Drama
Primal Fear,Thriller
All Dogs Go to Heaven 2,Adventure
Land and Freedom,Romance
Diabolique,Thriller
"Little Indian, Big City",Family
Courage Under Fire,War
Space Jam,Family
Operation Dumbo Drop,Family
Butterfly Kiss,Thriller
Feeling Minnesota,Thriller
Angus,Romance
Captives,Romance
The Horseman on the Roof,Romance
The Craft,Thriller
Original Gangstas,Thriller
Cemetery Man,Comedy
Careful,Fantasy
Eraser,Thriller
Phenomenon,Science
Bound,Thriller
Kansas City,Crime
Bulletproof,Thriller
For Whom the Bell Tolls,Thriller
An American in Paris,Romance
Gaslight,Crime
Charade,Thriller
My Fair Lady,Romance
To Catch a Thief,Romance
Father of the Bride,Romance
Lost Horizon,Mystery
Around the World in Eighty Days,Fantasy
Lady of Burlesque,Romance
They Made Me a Criminal,Mystery
Beat the Devil,Crime
Algiers,Romance
Fly Away Home,Family
Last Man Standing,Thriller
The Glimmer Man,Drama
D3: The Mighty Ducks,Family
"Davy Crockett, King of the Wild Frontier",Western
Herbie Rides Again,Fantasy
Homeward Bound: The Incredible Journey,Family
Angels in the Outfield,Family
Pete's Dragon,Family
Bedknobs and Broomsticks,Comedy
The Fox and the Hound,Family
The Sound of Music,Romance
The Long Kiss Goodnight,Thriller
Crossfire,Thriller
"Murder, My Sweet",Thriller
For the Moment,Action
The Crying Game,Thriller
North Star,Western
The Abyss,Science
The Return of Martin Guerre,History
Tie Me Up! Tie Me Down!,Romance
The Princess Bride,Comedy
Aliens,Science
Lawrence of Arabia,War
Alien,Science
The Killer,Thriller
The Blues Brothers,Crime
A Grand Day Out,Science
Henry V,Action
Das Boot,War
Chinatown,Thriller
The Treasure of the Sierra Madre,Western
Bad Taste,Science
M,Crime
The Great Escape,Thriller
Diva,Thriller
Groundhog Day,Comedy
Ben-Hur,History
Butch Cassidy and the Sundance Kid,Crime
Mad Dog Time,Crime
Audrey Rose,Thriller
The Believers,Mystery
Cat People,Thriller
Nightwatch,Mystery
The Preacher's Wife,Science
Young Guns,Drama
Grease 2,Music
The Evening Star,Comedy
Murder at 1600,Thriller
Hearts and Minds,Romance
Zeus & Roxanne,Family
First Strike,Crime
Underworld,Thriller
Metro,Crime
Guantanamera,Foreign
Touch,Foreign
The Saint,Science
Smilla's Sense of Snow,Mystery
Cats Don't Dance,Music
Turbo: A Power Rangers Movie,Fantasy
Grosse Pointe Blank,Romance
A Chef in Love,Foreign
