user_id,gender,user_occupation
24,M,technician
53,F,other
23,M,writer
42,M,executive
57,M,administrator
29,M,student
71,M,lawyer
47,M,educator
45,M,scientist
49,F,educator
21,M,entertainment
30,M,programmer
40,M,librarian
72,F,homemaker
73,F,artist
39,M,engineer
74,F,librarian
84,M,artist
75,F,student
76,F,administrator
27,F,marketing
85,M,marketing
16,M,none
50,M,healthcare
78,M,other
79,F,executive
61,M,retired
80,M,salesman
32,F,writer
28,F,lawyer
46,M,doctor
77,F,healthcare
26,F,scientist
35,F,none
81,F,programmer
33,F,salesman
82,F,entertainment
36,F,engineer
70,F,retired
83,M,homemaker
38,F,technician
