movie_name,genre_id1,genre_1,genre_id2,genre_2,genre_id3,genre_3,genre_id4,genre_4,genre_id5,genre_5,genre_id6,genre_6,genre_id7,genre_7,genre_id8,genre_8
Toy Story,16,'Animation',35,'Comedy',10751,'Family',,,,,,,,,,
Jumanji,12,'Adventure',14,'Fantasy',10751,'Family',,,,,,,,,,
Grumpier Old Men,10749,'Romance',35,'Comedy',,,,,,,,,,,,
Waiting to Exhale,35,'Comedy',18,'Drama',10749,'Romance',,,,,,,,,,
Father of the Bride Part II,35,'Comedy',,,,,,,,,,,,,,
Heat,28,'Action',80,'Crime',18,'Drama',53,'Thriller',,,,,,,,
Sabrina,35,'Comedy',10749,'Romance',,,,,,,,,,,,
Tom and Huck,28,'Action',12,'Adventure',18,'Drama',10751,'Family',,,,,,,,
Sudden Death,28,'Action',12,'Adventure',53,'Thriller',,,,,,,,,,
GoldenEye,12,'Adventure',28,'Action',53,'Thriller',,,,,,,,,,
The American President,35,'Comedy',18,'Drama',10749,'Romance',,,,,,,,,,
Dracula: Dead and Loving It,35,'Comedy',27,'Horror',,,,,,,,,,,,
Balto,10751,'Family',16,'Animation',12,'Adventure',,,,,,,,,,
Nixon,36,'History',18,'Drama',,,,,,,,,,,,
Cutthroat Island,28,'Action',12,'Adventure',,,,,,,,,,,,
Casino,18,'Drama',80,'Crime',,,,,,,,,,,,
Sense and Sensibility,18,'Drama',10749,'Romance',,,,,,,,,,,,
Four Rooms,80,'Crime',35,'Comedy',,,,,,,,,,,,
Ace Ventura: When Nature Calls,80,'Crime',35,'Comedy',12,'Adventure',,,,,,,,,,
Money Train,28,'Action',35,'Comedy',80,'Crime',,,,,,,,,,
Get Shorty,35,'Comedy',53,'Thriller',80,'Crime',,,,,,,,,,
Copycat,18,'Drama',53,'Thriller',,,,,,,,,,,,
Assassins,28,'Action',12,'Adventure',80,'Crime',53,'Thriller',,,,,,,,
Powder,18,'Drama',14,'Fantasy',878,'Science,'','',,,,,,,,
Leaving Las Vegas,18,'Drama',10749,'Romance',,,,,,,,,,,,
Othello,18,'Drama',,,,,,,,,,,,,,
Now and Then,35,'Comedy',18,'Drama',10751,'Family',,,,,,,,,,
Persuasion,18,'Drama',10749,'Romance',,,,,,,,,,,,
The City of Lost Children,14,'Fantasy',878,'Science,'','',,,,,,,,,,
Shanghai Triad,18,'Drama',80,'Crime',,,,,,,,,,,,
Dangerous Minds,18,'Drama',80,'Crime',,,,,,,,,,,,
Twelve Monkeys,878,'Science,'','','','',,,,,,,,,,
Wings of Courage,10749,'Romance',12,'Adventure',,,,,,,,,,,,
Babe,14,'Fantasy',18,'Drama',35,'Comedy',10751,'Family',,,,,,,,
Carrington,36,'History',18,'Drama',10749,'Romance',,,,,,,,,,
Dead Man Walking,18,'Drama',,,,,,,,,,,,,,
Across the Sea of Time,12,'Adventure',36,'History',18,'Drama',10751,'Family',,,,,,,,
It Takes Two,35,'Comedy',10751,'Family',10749,'Romance',,,,,,,,,,
Clueless,35,'Comedy',18,'Drama',10749,'Romance',,,,,,,,,,
